Lat,Lon,Elev,D13C
22.05,-159.533,626.7,19.52834608
19.77,-155.93,626.9,19.59802944
19.82,-155.93,197,19.54094593
19.68,-155.2,714.5,21.99059258
55.208045,-132.82281,24,17.48588383
55.032989,-132.594249,24.5,17.30228249
55.478013,-131.790577,0,16.91678897
52.149914,-128.11656,85.3,16.84093303
51.680469,-127.225075,15.5,20.9499564
42.12194,-124.19668,33.4,22.46926927
42.12092,-124.19652,29.7,21.13383424
42.11937,-124.19595,21.8,21.62139131
41.10152,-124.15422,94.2,23.46901448
40.35,-124,81.1,24.91411049
41.05508,-123.88755,448.2,22.05193696
47.8,-123.7,2202.5,21.87536711
45.133,-123.633,280,19.05992395
39.34855,-123.54221,104.4,24.40239104
39.38271,-123.4797,453.8,21.23059108
39.39301,-123.46055,517.1,20.71762015
48.4286,-123.3655278,19.3,19.00949546
49.254,-123.2508472,73,21.97136639
44.0402,-123.14,136.5,21.25377555
44.0474,-123.14,123.3,22.26481745
44.0402,-123.078599,143.8,21.37522447
41.8681,-123.076886,979.6,21.38745314
48.598352,-123.024056,4.4,19.99482845
48.589814,-123.013777,6.3,18.77567591
38.4,-122.983,239.8,16.21345786
47.026961,-122.939405,40.7,20.29877926
47.649165,-122.934542,4.8,17.37253486
48.747889,-122.841885,7.8,19.88014781
47.066316,-122.833677,48.5,21.08117837
44.9949,-122.792222,106.6,21.65728604
48.612822,-122.614044,7.9,18.97663387
38.2618,-122.4580083,13,20.66581173
45.665628,-122.41334,143.7,18.26929437
37.8764,-122.282651,32.5,20.26933685
37.8834,-122.259225,185.3,21.03340087
37.8617,-122.2547722,79.6,21.38410843
38.6268,-122.2547722,134.9,21.12161568
37.167,-122.233,394.2,17.19417929
37.25625,-122.21931,155.7,21.39263292
37.25362,-122.21835,129.9,22.0877369
37.25355,-122.21803,127.5,21.8393399
48.154409,-122.164797,38.2,18.00039368
48.194862,-122.127144,35,20.06637667
37.00082,-122.06189,250.2,19.8654074
37.01,-122.06,284,20.59050245
36.99752,-122.05316,221.4,21.80454232
36.9996,-122.05296,235.1,21.43246189
46.033211,-121.838628,1131.1,18.38895955
38.5396,-121.750651,16,19.5505692
38.5371,-121.750651,17.1,19.49417571
38.5433,-121.750651,15.4,18.64065693
38.542,-121.750651,15.7,19.46104793
47.415464,-121.082473,837.5,17.34547092
38.8966,-121.0769472,376.6,20.23656147
48.383652,-121.019399,1113.5,17.5480063
48.387773,-120.829007,668.9,16.84964061
35.27982,-120.66468,61.8,20.04456241
35.27985,-120.66453,61.7,21.19115447
39.55,-119.88,1622,16.30486403
34.4496,-119.84623,28,20.09395202
34.44948,-119.8462,27.8,20.33602308
34.44949,-119.84607,27.7,20.79591629
34.5,-119.82,656.8,17.89096541
38.68,-119.72,2086.3,17.6972547
39.38,-119.72,1454.5,15.71380197
39.47,-119.38,1768.4,15.62191162
50.42,-118.93,743.8,20.81
34.05,-118.72,327.6,20.5
34.132312,-118.11209,212.6,22.65127175
49.990566,-117.37434,550.1,18.04801367
34.58,-117.33,819.3,21.41117244
48.955344,-117.231452,1053.9,20.71398111
46.72,-117,797,19.91
48.166624,-116.966645,683.8,18.53021028
48.570448,-116.82267,809.3,18.43618128
48.35,-116.792,1076.4,18.67210091
46.83,-116.72,921.1,17.92425691
46.803028,-116.531949,874,19.59661397
36,-116.45,784.2,19.3
33.95,-115.97,991.3,17.41181296
36.77,-115.964,952.9,17.97488978
47.04,-115.88,1732.2,19.57290242
48.42,-115.8,741.7,20.42200225
33.7,-115.8,693.1,20.13542098
34.05,-115.8,574.1,19.02971591
34.933,-115.625,858,14.26
39.9,-115.5,2220.6,16.18000534
46.96,-115.35,1581.7,18.40269474
44.17,-115.31,2022.2,17.96535816
41.033139,-115.166699,2023.9,18.10536097
44.17,-115.06,2571.1,19.70535816
34.95,-114.42,495.4,18.31757533
35,-114.4,721.4,16.15
34.883,-114.4,438.1,16.555
46.7,-114.17,1891.5,18.83460948
37.2,-113.9,1812.1,15.94072776
34.7,-113.9,989.4,16.88376374
46.85,-113.88,1107.8,18.58068502
47.92,-113.82,1005.5,19.58024763
37.52,-113.33,1793.9,18.2
37.5,-113.32,1708.6,18.57269261
37.33,-113.3,1332.9,18.37111321
43.5,-112.97,1520.8,18.66146582
37.02,-112.95,1577,19.65787595
40.5,-112.28,1744.3,15.87301587
35.983,-112.183,1955.5,18.005
39.917,-112.05,1964.6,18.48
39.92,-112.05,2016.7,18.54
33.4198,-111.9327833,354.4,18.60830039
34.78,-111.93,1107.2,19.61505548
40.77,-111.8,2108.8,19.985
40.8,-111.78,1974.2,19.765
36.9,-111.6,1432,17.78
40.78,-111.47,2057.9,19.40846825
34.22,-111.43,1194.7,20.17518306
40.57,-111.33,2096.7,18.24675191
40.55,-111.1,2310.6,19.62372056
40.65,-110.9,2967.8,17.87546382
31.78,-110.88,1138.7,19.07333718
37.18,-110.88,1127.8,20.58261496
37.28,-110.85,1323.7,19.66622261
37.23,-110.85,1153.6,19.51608545
29.1,-110.82,239,18.76727793
34.3,-110.23,1938.2,16.77963773
34.3,-110.22,1983.2,17.44390291
31.66,-110.18,1189.7,19.65775862
31.58,-110.13,1256,20.14627297
31.57,-110.13,1247,17.85941227
37.675,-110.125,1902.6,13.27047235
33.6,-109.13,1848.4,16.75531296
33.6,-109.1,1824.2,16.57052213
32.68,-109.02,1153.8,18.91095406
39.056141,-108.693585,1898.5,18.84591328
38.570779,-107.736397,2083.7,20.08571126
38.540833,-107.692871,2564,19.82374617
27.705575,-107.396771,2409.3,18.02059
37.882254,-107.344083,3649.4,20.40595622
38.5477,-106.925334,2349.8,17.94483715
37.79295,-106.915757,2926.5,19.71689162
40.404136,-106.45668,2660.2,20.06808235
39.488166,-106.366578,2688.6,19.66635999
53.629,-106.197,590.7,20.30521608
39.024833,-106.133998,3484.7,20.75581374
38.189023,-105.796457,2893.7,18.7307903
35.63,-105.779,2482.4,20.43005724
53.5,-105.75,495.1,20.47194175
40.326048,-105.65108,3011.7,19.5468871
36.388621,-105.583069,2116.1,19.2514831
37.721031,-105.517896,2504.4,15.79318316
39.796732,-105.49013,2513.9,19.97727645
40.613181,-105.47864,2935.1,19.43889454
38.927503,-105.282144,2538.2,20.67287304
40.938048,-105.137268,1954.4,21.92094996
53.985,-105.122,590,22.12819509
40.961667,-105.113056,1938.3,17.1178034
41.175516,-105.098654,1999,21.3644015
19.5,-105.05,48,19.72618447
52,-105,560.6,20.17025201
53.916,-104.69,510,19.96868157
38.764627,-104.555193,1865.1,21.52186505
32.08,-104.43,1143.3,19.42764229
29.4,-103.18,906.1,20.83699263
29.4,-103.08,942.3,20.30032596
55.88,-98.67,258.8,20.90057465
55.927,-98.62,286.9,19.8106896
55.7,-98.51,262.4,21.32991535
56,-98.5,275,20.55339407
29.8758,-98.48716,314,21.7882991
29.87596,-98.48687,312.7,21.18233366
29.87601,-98.48644,312.4,19.61850856
27.67,-98.2,79,20.02266759
55.75,-97.867,194.8,20.10399771
30.2877,-97.74156667,179.8,19.97244255
18.25,-97.43,2131.1,17.75429097
32.7241,-97.32063611,197.4,21.44444725
30.618517,-96.335582,101.6,17.74302252
29.17749,-95.84204,9.3,20.52749622
44.46804,-93.917739,224.5,20.96799137
44.972,-93.277,259.8,20.52882349
44.9714,-93.271318,258.9,20.45495762
35.0794,-92.45419167,92.6,19.9187753
29.87951,-91.47157,0.6,21.04121398
29.87936,-91.4713,0.6,21.09386601
29.87826,-91.47115,0.5,20.45529865
32.76945,-90.79974,27.3,19.49331382
32.76945,-90.79973,27.3,20.82749965
32.76935,-90.7953,27.5,20.84424785
35.6015,-90.36288,67.4,20.62387871
30.39229,-89.72487,3.1,20.97524301
30.39498,-89.71277,3.3,22.37465635
30.39686,-89.69938,3.3,20.22790387
45.499,-89.636,450.6,19.81140789
45.77,-89.57,487.7,20.40197298
37.28552,-89.15553,100,23.03647137
37.33851,-89.07297,106.2,20.51551809
37.33839,-89.07283,105.9,20.47975466
43.027,-88.798047,249.6,17.99706587
41.793109,-88.077497,201,17.55272427
41.799124,-88.075094,204.1,17.49868078
42.2778,-88.061,241.8,20.45557918
49.044496,-87.999796,294.4,19.79210612
49.50307,-87.981646,383.7,21.22686661
41.7959,-87.975609,228.3,18.60805218
44.0474,-87.62837778,176.8,24.04243048
45.52,-87.4,195.3,18.10102983
38.475846,-86.540208,205,20.74578478
44.03,-86.51,176.9,17.81980485
46.3483,-86.4702,251.6,18.40252022
44.244334,-86.333801,198.2,19.43529378
45.019303,-86.121419,189.2,21.63887984
44.75,-86.06,179.7,18.53897452
45.069078,-86.002891,211,21.48135858
44.21,-85.89,219.2,19.46478002
44.87088,-85.888357,234,18.3693833
44.912615,-85.873807,209.7,21.72152868
42.8,-85.71,215.7,17.2238546
42.23,-85.52,261.9,18.50436936
42.67,-85.51,243,20.71789676
10.75,-85.5,98,22.71599524
44.77,-85.4,214,20.87387879
39.5087,-84.763098,299.7,20.16011509
30.16731,-84.65559,5.3,23.61391067
30.16759,-84.65544,6.6,19.96345925
41.926,-84.629913,333.4,22.74315906
44.689066,-84.607381,372.5,20.88917897
45.84068,-84.605747,177,21.67027201
35.97,-84.28,309.8,21.96565967
37.708544,-84.272259,313.9,18.34435056
41.95,-84.21,295.4,19.28089517
42.03,-84.21,307,19.4921883
42.02580556,-84.11480556,304.5,19.2327616
42.02597222,-84.11477778,303.3,19.53800612
42.02916667,-84.11308333,303.1,19.39257382
42.02925,-84.11302778,304.1,19.87863049
42.02969444,-84.11297222,307.9,21.43792376
42.02922222,-84.11294444,304.5,20.37295259
42.02908333,-84.11294444,303.5,17.11311104
42.03008333,-84.11288889,312.9,19.31214769
42.03002778,-84.11280556,312.4,20.86929831
42.02936111,-84.11280556,305.7,15.20613668
42.02911111,-84.11280556,303.5,18.60246765
42.02886111,-84.11277778,301.2,19.57606963
42.02941667,-84.11275,306.1,21.49189468
42.02925,-84.11275,304.8,20.08630446
42.02913889,-84.11275,303.6,21.64260281
42.02897222,-84.11269444,301.7,20.21167147
42.02911111,-84.11269444,303.2,23.71055827
42.02894444,-84.11266667,301.4,20.54901844
42.02844444,-84.11263889,297.2,23.61928452
42.02888889,-84.11261111,300.5,19.05427954
42.02888889,-84.11258333,300.2,21.82473335
42.02822222,-84.11258333,295.9,20.54144731
42.02930556,-84.11255556,304.9,20.06885884
42.02858333,-84.11252778,297.2,21.19109051
42.03025,-84.1125,312.2,17.0108135
42.02991667,-84.11247222,309.5,21.89413931
42.02947222,-84.11247222,305.5,17.79084737
42.02908333,-84.11244444,301.1,24.15564664
42.02927778,-84.11244444,303.8,18.63099072
42.02941667,-84.11244444,304.9,21.06381273
42.02822222,-84.11244444,295.5,25.44185891
42.02922222,-84.11241667,302.8,19.03933941
42.02925,-84.11241667,303.2,21.81212953
42.02947222,-84.11241667,305.1,18.67912342
42.02961111,-84.11241667,306.1,19.36774176
42.02958333,-84.11233333,305.4,19.48097609
42.02888889,-84.11230556,298.4,20.36403736
42.02902778,-84.11227778,299.8,17.79730197
42.02913889,-84.11227778,301,19.95512883
42.02966667,-84.11227778,305.7,23.38197008
42.02908333,-84.11227778,300.4,17.10890514
42.02975,-84.11227778,306.4,18.72327705
42.02880556,-84.11225,297.7,20.36403736
42.0285,-84.11225,295.3,22.21740137
42.02894444,-84.11222222,299.1,22.46078921
42.02969444,-84.11219444,305.6,19.37796825
42.02836111,-84.11216667,294.8,21.20181017
42.02908333,-84.11213889,300.4,19.37762632
42.02852778,-84.11211111,295.5,22.29987678
42.02913889,-84.11208333,300.7,22.03219491
42.02905556,-84.11208333,300.2,18.28055339
42.02902778,-84.11205556,300.2,19.57634546
42.02891667,-84.11205556,299,22.45727363
42.02844444,-84.11205556,294.9,18.4204329
42.0283,-84.11205556,294.4,23.55110977
42.02880556,-84.11202778,297.9,22.02970782
42.02888889,-84.11194444,299,21.54603072
42.02894444,-84.11183333,299.9,18.27598953
42.02913889,-84.11175,302.1,18.95990139
42.02891667,-84.11175,299.7,21.02824523
42.02902778,-84.11172222,301,21.67747238
42.02939167,-84.11148056,303.2,23.75910261
42.02955,-84.11143889,303.5,23.85007233
42.02897222,-84.11141667,300.4,20.09217625
42.02961111,-84.11138889,303.4,20.0949915
42.02969444,-84.11138889,303.2,21.93793055
42.2919,-83.845277,265,20.31513353
42.292,-83.845,265.4,19.08274512
42.2751,-83.7533722,251.7,19.63839798
42.2835,-83.75,247.4,16.91732721
42.2805,-83.748,255.8,20.47786361
42.2804,-83.748,255.9,19.56197379
42.278,-83.748,257.5,19.60543321
42.278,-83.742331,266,20.51048814
42.2787368,-83.7397456,267.5,16.99854799
41.8677,-83.7344333,206,21.40440987
42.3002,-83.66636111,252.5,18.90138395
42.2996,-83.66636111,252.7,19.83175766
42.3002,-83.663,243.3,18.84780417
42.3003,-83.663,242.1,18.13620514
42.3001,-83.663,244,19.78439333
42.3,-83.663,244.2,18.47376413
42.2998,-83.663,244.3,19.56367777
42.2996,-83.663,244.5,18.21274336
42.2995,-83.663,244.5,20.21708817
42.3004,-83.6614023,241.4,19.06438137
42.3002,-83.6604,238.8,20.20288191
43.301243,-83.45747,230.4,20.23299057
45.068779,-83.447461,183.1,21.54848781
44.590893,-83.422202,198.4,21.94929275
34.6781,-82.83697222,224.4,17.71639117
36.6816,-82.6051,503,19.82056134
39.97853,-82.41219,306.3,20.36285555
39.97829,-82.41213,306,20.67855627
39.97847,-82.41206,305.9,20.0563166
42.3,-82.3701,174.8,18.78210488
29.6358,-82.3701,25.6,18.73266801
42.3002,-82.34370556,177.5,20.34813406
29.6501,-82.34370556,50.2,20.34048946
31.05,-82.267,37.5,20.53007574
39.3267,-82.101375,215.1,21.85738946
39.3253,-82.10124722,211.8,20.72974444
33.32,-81.72,78.7,23.33106083
28.87487,-81.48874,9.1,20.9853391
28.87489,-81.48871,9,21.99116578
43.000383,-81.422294,276.8,18.96099173
25.96495,-81.33611,1.8,20.82592367
42.977939,-81.24588,244.8,21.73929748
25.854,-81.01996,2.6,22.2166454
25.85513,-81.01982,2.6,22.54181576
9.28,-79.97,165,21.15824824
33.162403,-79.829641,16,20.75405829
9.1,-79.7,79,19.69769558
33.046995,-79.657732,7.3,21.22006332
8.98,-79.55,12,20.25343903
43.6534,-79.38296111,89.8,19.93540331
8.97,-79.38,0,20.56457636
35.974,-79.1,164.1,20.74023694
35.977,-79.093,173.6,19.85461185
45.842511,-78.724986,426,18.03578209
35.7715,-78.6384,95,19.04411585
38.906058,-76.971796,16.2,19.62342579
38.910335,-76.971265,36.8,21.97393662
38.908682,-76.971053,35.2,19.70699593
38.910156,-76.961893,1.6,20.46199298
38.914275,-76.957572,29.6,20.60278335
36.843387,-76.829121,8.3,20.46788445
36.843371,-76.829085,8.3,22.20624881
45.2,-75.62,94.4,21.67952002
43.0492,-75.38116667,177.7,22.10612331
39.947251,-75.148861,6.9,20.18054381
39.947213,-75.148767,7.1,20.30295731
41.619261,-74.59254,432.5,18.99490384
41.313795,-73.399359,164,20.53676665
41.966272,-73.312415,236.4,18.68570856
41.962204,-73.299882,255,19.29392029
41.171283,-73.255631,37.2,21.50493807
41.313788,-72.919655,7.9,20.88946429
41.5544,-72.65492778,42.5,20.88328502
-40.783,-72.333,932.4,21.8
-39.55,-72.05,204,23.3
8.5,-71,3101,22.23641899
-26.12,-70.6,242,16.27774722
-24.96,-70.43,1198,15.7845029
9.617,-70.2,1526.2,21.42487458
9.417,-69.25,174,21.28427627
44.507157,-69.019144,80.5,17.86303093
2,-67,94,23.92923037
10.333,-66.833,622,20.59534194
45.93,-66.63,68.5,19.69015449
18.32,-65.82,406.5,23.27721193
18.3,-65.783,643.5,22.79284378
10.617,-61.267,37.5,20.33419122
10.717,-61.25,655.6,22.41841182
-2.5,-60,133,23.42916804
-2.5,-54.967,1,22.74958108
-2.85,-54.95,198,23.73013338
5.3,-53.5,129,22.67012748
5,-53,229,21.39811791
5.03,-53,68,23.39779827
5.33,-52.83,22,23.03931577
-15.93,-47.88,1116,20.30222222
-20.417,-44.833,765.2,20.275
-22.9,-44,583,22.8085502
-22.85,-44,538,25.7
-22.867,-42.525,60.2,19.53333333
-22.933,-42.217,5.8,19.7
-22.383,-41.75,0,21.57233333
38.5,-8,212,19.74805528
52.3,-7.9,58,23.94508146
41.78,-5.42,766,19.27397269
56.383,-4.533,843.7,20.30092859
56.6,-3.8,390,21.77729898
51.44,-2.62,9,22.80683567
51.6,-2.22,136,20.29038774
51.77,-1.28,57,20.41186493
51.4273,-0.564811111,55.8,21.0957275
48.844,2.359591667,34,20.59541836
43.583,3.967,2,19.70689381
52.1,5.6,11,20.97829974
45.05,5.67,315,21.2400407
44.07,5.83,809,19.54104213
50.49,6.42,489,20.15408938
48.6,7.1,380,21.10632509
47.47,7.5,529,19.56315985
47.47,7.52,506,24.02506589
48,7.85,270,21.22223158
48,8.4,776,22.05235658
48.08,8.9,888,21.49193706
50.983,9.3,315,19.3478153
46.4,9.8,2606,19.79599809
46,9.8,1917,18.01978703
51.22,10.45,209,21.45760175
51.1,10.5,285,23.37632524
51.083,10.517,336,19.24466298
48.3,11.1,520,22.23335121
44.6,11.1,30,21.75104487
49.8,11.2,300,20.58336033
45.9,11.3,1071,19.68747221
42.37,11.53,6,18.91318371
55,11.6,0,24.05490966
46.35,11.83,2008,22.06265278
42.4,11.9,168,20.58142968
46.53,12.13,1224,19.84891184
46.33,12.32,578,21.17766092
41.9,12.5,56,16.85
47,12.6,2216,18.8757986
50.9,13.5,473,19.14557016
46.25,14.2,886,19.70430194
-23,15,465,18.42789487
45.55,15.15,143,19.44776552
-22.7,15.8,1641,16.70806227
-28.48,16.67,21,19.15
-28.167,17,585,16.47894751
-28.23,17.08,478,16.8
-32.067,18.333,21.2,17.09779632
49.5,18.5,737,20.69413991
-33.5,18.5,365,18.30223701
-32.5,18.5,261,17.7018939
-34,18.92,907,19.0312912
-32,19,278,17.81030764
-32.4,19.12,1576,19.30024256
64.3,20.42,198,21.25255363
-32,21,1233,16.73155764
61.5,24.2,85,19.4728868
67.4,26.7,203,22.04367532
58.367,27.333,34,20.2379857
-23,31.483,335.6,18.73229487
31.333,35,493.6,15.44686381
31.2,35,394,15.04853175
-0.2,37.3,4164,16.32612894
2.583,37.88,617.8,19.47449638
-1,40,113,20.44760937
-16.09,47,117,21.81505021
41.833,81.717,1372.9,18.26019456
29.53,82.07,2970,19.53932378
41.817,82.283,1214.1,19.39015138
44.533,85.733,400.4,18.53742224
44.217,86.617,507,19.44658314
69.4,88.28,44,18.82450501
69.48,88.38,47,18.96725697
43.417,94.167,1893,18.22445026
43.267,94.833,1617.2,17.31404905
40.533,95.833,1183.2,17.48667439
40.367,95.85,1258.4,16.77622337
39.517,99.9,1454.8,17.10390922
39.333,100.192,1396.3,18.46285714
39.033,100.467,1444.8,19.73258835
38.783,100.6,1584.4,19.27190528
30.82,102.98,3974,20.06001639
36.167,103.583,1726.2,18.98473384
36.267,103.817,1856.8,19.08500853
36.65,104.05,1931,18.75606034
37.433,104.917,1406.4,19.00820889
37.35,105.133,1707.6,18.12798127
37.45,105.217,1332.4,19.55825551
38.6,105.633,1360.6,17.88140495
39.017,105.65,1418.2,19.44254465
38.333,106.433,1170.3,18.95067452
38.117,106.6,1286,19.52008323
34.817,108.033,1286,19.13687384
34.267,108.067,458,19.68911222
33.433,108.433,1553.1,20.9762654
36.067,108.533,1326.6,19.33537491
31.6163889,108.6725,2064,16.50726839
31.732136,108.813983,1159.8,16.80926777
35.05,109.133,1088.8,18.9995976
36.767,109.25,1211.4,18.76298155
37.85,110.167,1051.4,16.83895191
38.783,110.35,1230.4,18.36817195
34.974176,111.410942,1284.8,18.3452316
23.13,112.58,73,21.66483779
-0.07,114.02,328,23.4815308
4.577,114.503,24.1,23.09276575
4.658,114.516,62.6,23.81565012
26.43,115.03,339,22.04465522
-29.817,115.267,100.5,20.18867103
-33.581,115.499,23.5,18.88888497
-31.545,115.675,31,19.269189
-33.007,115.743,33,19.15228852
-34.492,115.952,190.2,19.18213107
-34,116,198,19.0778412
-34.53,116.01,125,19.92379473
-31.891,116.249,280.1,20.60929308
-31.884,116.262,254.4,19.39579431
-31.895,116.559,348.8,19.01157016
-34.911,116.689,108.5,20.77876738
-34.97,116.791,175,20.68876359
-32.983,116.85,322.4,20.99165838
-35.017,117.23,31.8,20.79979399
-34.95,117.283,105.6,19.69146486
-34.966,117.289,218.6,20.52476384
-35.033,117.317,91.4,18.79145968
-34.97,117.33,93,21.40416359
-34.32,117.5,266,19.60691196
-34.744,117.506,113,20.13377875
-34.379,117.78,269.4,19.27547364
-34.149,118.235,236.6,18.98549381
-32.665,118.326,296.8,18.82233607
-33.919,118.329,325.9,18.97884917
-33.711,118.365,346,18.59053739
-33.548,118.378,311.6,16.46555535
-33.598,118.441,301.4,17.99221641
-33.165,118.473,313.8,17.52226801
-33.382,118.51,312.8,16.97001907
-32.11,118.793,358.8,18.31297803
-32.671,118.999,427.4,18.66566854
-32.73,119.005,411,17.86788226
-32.55,119.283,361,19.9917197
-32.426,119.356,358.8,19.28237187
-32.278,119.581,418.1,17.72093678
-32.165,119.749,446.6,17.74674674
-32.05,119.903,388.8,18.16659917
-31.877,120.189,402.8,18.60162886
-1.417,120.33,1103.8,19.9383621
-31.78,120.343,471.2,17.804146
-31.67,120.477,454.6,19.06416587
-28.565,120.482,480.8,17.20992233
-31.576,120.579,442.4,18.53418321
-31.511,120.816,444,17.32752873
-31.191,120.942,435.4,17.85092445
-29.761,121.063,419.9,17.78958539
-29.905,121.119,398,18.27288207
-29.242,121.252,487.8,16.55805778
-29.495,121.252,382,18.4896553
-29.243,121.256,471.1,16.61972416
31.149979,121.449465,9.6,17.6970442
-30.643,121.454,352.7,17.53270715
-28.764,121.968,436.2,17.98319554
-28.401,122.568,503.5,19.758862
-28.385,122.585,517,19.35997813
-28.227,122.732,486.6,18.11336154
-27.899,123.378,461.7,17.47013552
-27.918,123.616,400.8,18.46512918
44.77,123.78,151,19.94535025
-27.053,125.149,462.8,18.91043326
-27.038,125.236,448.2,18.22043881
-27.038,125.241,449.5,19.56710548
-26.999,125.534,422.2,19.4404533
-26.996,125.559,397.1,18.79545442
-26.996,125.594,405,19.54545442
-26.985,125.701,445,19.77379185
-26.979,126.053,448,18.55379408
-27,126.227,417.8,20.1271196
-27.008,126.25,433.6,18.22044995
-27.008,126.252,436.1,19.33378328
-26.235,126.276,435,20.45741699
-26.368,126.285,470.8,18.73736346
-26.543,126.402,400.3,19.42840532
-26.532,126.404,401.5,19.29729852
-26.427,126.413,403,19.50233996
-25.881,126.913,497.2,18.44922988
-25.419,127.554,593.3,19.75776235
42.104408,127.858082,1093.5,19.83287847
-25.298,127.86,528.4,21.52781607
41.7667,127.9333,1629.4,17.25789254
41.744349,127.96504,1694.9,14.73717519
41.79611,127.9889,1541.5,16.88596097
-25.074,128.169,562.3,18.89791723
37.05744,128.305,237.1,19.55906716
-25.061,128.329,600.4,20.08458984
-24.837,128.934,611.5,19.0530267
-24.871,129.057,604.1,19.70801084
-25.056,129.678,639.4,18.76771713
-25.067,129.839,616.6,17.87792043
30.33,130.5,1711,20.65022436
-25.228,130.58,578.2,19.29118077
-17.3,130.75,214,19.93
-11.767,130.867,96.2,20.77625
-16.117,130.917,98.3,19.73214286
-14.3,132.083,174.2,19.433
-12.683,132.383,42.8,19.82727273
33.8,133.82,587,20.4094229
36.740017,139.494529,1275.9,18.17414228
36.395013,139.859477,60.2,17.23209481
36.97,140.6,770,19.93014736
-6.167,143.917,2298.5,21.6
-24.08,145,231,18.1140933
-5.67,145.02,2274,20.60368753
-5.833,145.133,2698,17.8
-42.683,146.633,986.6,20.15
-33.864,151.2169778,10.7,21.21738979
-28.03,152.83,284,22.80875879
-27.03,152.83,131,20.00188622
-27.13,153.02,7,21.1001049
-43.75,169.333,624,22.26878805
-45.3,170.5,280,21.04630247